RBD;NOM_RBD
1;LICEO POLITECNICO ARICA
3;ESC. PEDRO VICENTE GUTIERREZ TORRES
4;LICEO OCTAVIO PALMA PEREZ
5;JOVINA NARANJO FERNANDEZ
7;L. POLI. ANTONIO VARAS DE LA BARRA
8;COLEGIO INTEGRADO EDUARDO FREI MONTALVA
9;ESCUELA REPUBLICA DE ISRAEL
10;ESCUELA REPUBLICA DE FRANCIA
11;ESC. GRAL. PEDRO LAGOS MARCHANT
12;ESCUELA GRAL JOSE MIGUEL CARRERA
13;ESCUELA MANUEL RODRIGUEZ ERDOYZA
14;ESCUELA ROMULO J. PENA MATURANA
15;LICEO ARTISTICO DR. JUAN NOE CREVANI
16;ESCUELA REGIMIENTO RANCAGUA
17;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ
18;ESC. COMTE. JUAN JOSE SAN MARTIN
19;ESC. HUMBERTO VALENZUELA GARCIA
20;ESCUELA TUCAPEL
22;ESCUELA GABRIELA MISTRAL
25;COLEGIO CENTENARIO DE ARICA
26;ESCUELA REPUBLICA DE ARGENTINA
27;ESCUELA ESMERALDA
28;ESCUELA RICARDO SILVA ARRIAGADA
29;ESCUELA AMERICA
31;ESCUELA DARIO SALAS DIAZ
32;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.
33;ESCUELA CARLOS CONDELL DE LA HAZA
35;ESCUELA GRAL. MANUEL BAQUEDANO
36;ESCUELA IGNACIO CARRERA PINTO
38;ESCUELA ESPA�A
39;ESCUELA PAMPA ALGODONAL
41;ESCUELA VALLE DE CHACA
42;ESCUELA MOLINOS LLUTA
45;COLEGIO ITALIANO SANTA ANA
50;COLEGIO ADVENTISTA DE ARICA
52;LICEO DOMINGO SANTA MARIA
56;COLEGIO SAN MARCOS DE ARICA
59;COLEGIO SAN JORGE
60;COLEGIO ALEMAN DE ARICA
67;ABRAHAM LINCOLN SCHOOL
69;JUNIOR COLLEGE
70;ESCUELA VALLE DE ESQUINA
72;LICEO  VALLE DE CODPA
73;ESCUELA VALLE DE COBIJA
74;ESCUELA VALLE DE CAMARONES
75;ESCUELA VALLE DE GUANACAGUA
76;ESCUELA VALLE DE CUYA
78;LICEO GRANADEROS
79;ESCUELA EL MARQUEZ
81;ESCUELA PAYACHATAS
82;ESCUELA SAN FRANCISCO DE ASIS
83;ESCUELA COTA COTANI
84;ESCUELA LOS ALAMOS
86;ESCUELA SAN SANTIAGO DE BELEN
87;ESCUELA ANCOLACANE
88;ESCUELA ALCERRECA
89;ESCUELA HUMAPALCA
90;ESCUELA INTERNADO VISVIRI
91;ESCUELA COSAPILLA
92;ESCUELA CHISLLUMA
93;ESCUELA CHUJLLUTA
94;ESCUELA GUACOYO
95;ESCUELA COLPITAS
97;INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY
103;ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA
106;INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL
107;LICEO LIBERT. GRAL.BERNARDO O�HIGGINS
108;LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN
109;LICEO ELENA DUVAUCHELLE CABEZON
110;LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.
111;ESCUELA GABRIELA MISTRAL
112;ESCUELA EDUARDO LLANOS
113;ESCUELA ALMIRANTE PATRICIO LYNCH
