RBD;NOM_RBD
222;CENTRO EDUC.INTEGRAL DE ADULTOS C.E.I.A
223;ESCUELA CLAUDIO ARRAU
224;ESCUELA GRECIA
225;ESCUELA REPUBLICA DE BOLIVIA
226;ESCUELA BASICA EMILIO SOTOMAYOR
227;ESCUELA BASICA PRESIDENTE BALMACEDA
228;ESCUELA BASICA VADO DE TOPATER
229;ESCUELA REPUBLICA DE CHILE
230;ESCUELA BASICA ANDRES BELLO
231;ESCUELA BASICA JOHN FITZGERALD KENNEDY
232;ESCUELA BASICA PEDRO VERGARA KELLER
236;ESCUELA DE PARVULOS LAS ABEJITAS
237;ESCUELA DE PARVULOS LLAMITO BLANCO
238;ESCUELA DIFERENCIAL LOA
239;ESCUELA BASICA 21 DE MAYO
240;ESCUELA BASICA REPUBLICA DE FRANCIA
241;ESCUELA PARVULARIA LAS ARDILLAS
243;ESCUELA BASICA PUKARA
244;ESCUELA DE PARVULOS LOS ENANITOS
245;ESCUELA DE PARVULOS PAPELUCHO
246;ESCUELA BASICA SENORA DE LA CANDELARIA
248;ESCUELA BASICA SAN JOSE
252;ESCUELA BASICA SAN FRANCISCO
253;COLEGIO ADVENTISTA DE CALAMA
254;FUNDACION EDUC.COLEGIO NUESTRA SRA.DE AYQUINA
255;COLEGIO EJERCITO DE SALVACION
256;INSTITUTO OBISPO SILVA LEZAETA
262;ESCUELA DE PARVULOS MICKEY MOUSE
265;ESCUELA DE PARVULOS LOS CONEJITOS
268;ESC. BASICA RURAL SAN ANTONIO DE PADUA
269;ESCUELA BASICA SAN PEDRO DE ATACAMA
270;COMPLEJO EDUCACIONAL TOCONAO
271;ESCUELA BASICA CAMAR
273;ESCUELA BASICA SOLOR
274;ESCUELA BASICA SAN ROQUE
275;ESCUELA BASICA ANDINA
276;ESCUELA BASICA TALABRE
277;ESCUELA BASICA SAN BARTOLOME
279;LICEO INDUSTRIAL EULOGIO GORDO MONEO
280;LICEO COMERCIAL JERARDO MUNOZ CAMPOS
282;LICEO A. RENDIC I. ANEXO C. REHABILIT. SOCIAL
283;LICEO TECNICO ANTOFAGASTA
284;LICEO DE HOMBRES DE ANTOFAGASTA MARIO BAHAMONDE SILVA
285;LICEO MARTA NAREA DIAZ
286;LICEO LA PORTADA
287;LICEO DOMINGO HERRERA RIVERA
288;ESCUELA JAPON
289;ESCUELA ESPANA
291;ESCUELA PADRE GUSTAVO LE PAIGE WALQUE
292;ESCUELA REPUBLICA DE ITALIA
293;ESCUELA JOSE PAPIC RADNIC
294;ESCUELA PROFESORA LJUBICA DOMIC WUTH
296;ESCUELA REPUBLICA DE LOS ESTADOS UNIDOS
297;ESCUELA ALCALDE MAXIMILIANO POBLETE
298;ESCUELA DARIO SALAS DIAZ
301;ESCUELA ROMULO J. PENA MATURANA
302;ESCUELA JUAN LOPEZ
303;ESCUELA REPUBLICA ARGENTINA
304;LICEO BICENTENARIO ANDRES SABELLA
305;ESCUELA HUMBERTO GONZALEZ ECHEGOYEN
306;ESCUELA HUANCHACA
307;ESCUELA DE PARVULOS MARCELA PAZ
310;ESCUELA CLAUDIO MATTE PEREZ
311;ESC DIFERENCIAL JUAN SANDOVAL CARRASCO
312;ESCUELA ECUADOR
313;ESCUELA ARTURO PRAT
315;ESCUELA HEROES DE LA CONCEPCION
316;ESCUELA LAS AMERICAS PROFESOR JUSTO VALLADARES ORELLANA
317;ESCUELA LAS ROCAS
318;ESCUELA EDDA CUNEO DONNAGIO
319;ESCUELA LA BANDERA
320;LICEO ARTISTICO DE ANTOFAGASTA `ARMANDO CARRERA GONZALEZ`
322;ESCUELA GENERAL MANUEL BAQUEDANO
324;ESCUELA FUNDACION MINERA ESCONDIDA
326;ESCUELA SANTIAGO AMENGUAL B.
329;INSTITUTO CIENTÍFICO EDUCACIONAL JOSÉ MAZA SANCHO
330;ESCUELA DE PARVULOS LOS PINGUINITOS
332;ESCUELA GABRIELA MISTRAL
333;ESCUELA DE PARVULOS BLANCA NIEVES
335;COLEGIO MISIONERO JOSE LANCASTER
336;LICEO EXPERIMENTAL ARTISTICO-APLICACION
337;COLEGIO SANTA TERESITA
340;CENTRO TRATAMIEN.INTEGRAL RAYITO DE SOL
341;COLEGIO ADVENTISTA DE ANTOFAGASTA
342;COLEGIO INGLES SAN JOSE
343;ESCUELA PRESBITERIANA
344;COLEGIO SANTA EMILIA
350;COLEGIO LIDIA MORENO
356;COLEGIO CORAZON DE MARIA
365;COLEGIO EAGLE SCHOOL
367;COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENT
368;ESCUELA BASICA JULIA HERRERA VARAS
369;ESCUELA LUCILA GODOY ALCAYAGA
370;ESCUELA ESTACION BAQUEDANO
371;ESCUELA CARACOLES
372;LICEO POLITECNICO JOSE MIGUEL QUIROZ
373;LICEO JUAN CORTES-MONROY CORTES
374;ESCUELA HOGAR VICTORIANO QUINTEROS SOTO
375;ESCUELA VICTOR CARVAJAL MEZA
377;ESCUELA PARANAL
379;LICEO FEDERICO VARELA
380;ESCUELA BASICA DIEGO PORTALES PALAZUELOS
381;ESCUELA BASICA PEDRO LUJAN
382;ESCUELA BASICA GASPAR CABRALES
383;ESC. BAS. DIFERENCIAL JOSE LUIS OLIVARES A.
384;LICEO BICENTENARIO  MANUEL MAGALHAES MEDLING
386;ESCUELA ALIRO LAMAS CASTILLO
387;ESC. BASICA EMPERATRIZ SEPULVEDA LANDEROS
390;ESCUELA COEDUCACIONAL PARTICULAR
392;LICEO DIEGO DE ALMEIDA
396;INSTITUTO COMERCIAL ALEJANDRO RIVERA DIAZ
397;LICEO TÉCNICO PROFESIONAL EDWIN LATORRE RIVERO
399;LICEO JOSE ANTONIO CARVAJAL
400;LICEO MERCEDES FRITIS MACKENNEY
401;ESCUELA BERNARDO O HIGGINS
403;ESCUELA LAURA ROBLES SILVA
404;ESC.EDUC.DIFERENCIAL MARIA LUZ LANZA PIZARRO
405;ESCUELA LOS ESTANDARTES
406;ESCUELA VICENTE SEPULVEDA ROJO
407;ESCUELA JESUS FERNANDEZ HIDALGO
408;ESCUELA PEDRO LEON GALLO
410;ESCUELA JOSE MANSO DE VELASCO
411;ESCUELA LAS CANTERAS
413;ESCUELA LAS BRISAS
415;LICEO DE MÚSICA DE COPIAPÓ HUGO GARRIDO GAETE
416;ESCUELA ABRAHAM SEPULVEDA PIZARRO
417;COLEGIO BUEN PASTOR
418;ESCUELA ISABEL PENA MORALES
419;ESCUELA HERNAN MARQUEZ HUERTA
420;LICEO FERNANDO ARIZTÍA RUIZ
421;ESCUELA BRUNO ZAVALA FREDES
423;ESCUELA SAN PEDRO
427;ESCUELA LUIS CRUZ MARTINEZ
429;LICEO CATOLICO ATACAMA
430;LICEO POLITECNICO BELEN
431;LICEO SAGRADO CORAZON
433;COLEGIO ADVENTISTA DE COPIAPO
434;ESCUELA SAN VICENTE DE PAUL
437;ESCUELA TECNICO PROFESIONAL
438;LICEO MANUEL BLANCO ENCALADA
439;ESCUELA TOTORAL
440;COLEGIO PARROQUIAL PADRE NEGRO
441;ESCUELA DE CONCENTRACION
442;ESCUELA VICTOR MANUEL SANCHEZ CABANAS
444;ESCUELA LUIS URIBE ORREGO
445;ESCUELA PAUL HARRIS
446;ESCUELA AMOLANAS
447;ESCUELA SAN ANTONIO
448;LICEO PEDRO TRONCOSO MACHUCA
449;LICEO JOSE SANTOS OSSA
450;ESCUELA HERMANOS CARRERA
452;ESCUELA GABRIELA MISTRAL
453;ESCUELA IGNACIO CARRERA PINTO
454;ESCUELA GREGORIO CASTILLO MARÍN
455;ESCUELA REPUBLICA DE LOS E.E.U.U.
456;ESC. EDUC.DIFERENC LUIS IRIARTE IRIARTE
458;ESCUELA ARTURO PEREZ CANTO
459;ESCUELA BASICA ESPANA
461;ESCUELA LUIS CRUZ MARTINEZ
462;ESCUELA JOSE CAROCA LAFLOR
463;ESCUELA BASICA ROBERTO CUADRA ALQUINTA
464;ESCUELA BASICA GUALBERTO KONG FERNANDEZ
467;ESCUELA HERNAN ARAVENA CONTRERAS
468;ESCUELA BASICA IGNACIO FRANCO GALLO
469;ESCUELA BASICA JUSTINO LEIVA AMOR
471;ESCUELA BASICA SARA BEMBOW VILLEGAS
476;ESCUELA BASICA SOR TERESA DE LOS ANDES
478;LICEO SANTA MARTA
479;LICEO SAN FRANCISCO
481;ESCUELA BASICA ALEJANDRO NOEMI HUERTA
482;ESCUELA FORTUNATO SOZA RODRIGUEZ
483;ESCUELA SAMUEL E. CASTILLO LOPEZ
484;ESCUELA DE MAITENCILLO
485;ESCUELA BASICA YERBAS BUENAS
486;LICEO JAPON
487;ESCUELA BASICA JOSE MIGUEL CARRERA
489;ESCUELA EL OLIVAR
490;ESCUELA PABLO NERUDA
492;COLEGIO PARTICULAR ENGLISH COLLEGE
493;EDUCADOR ARTURO ALVEAR RAMOS
495;ESCUELA AGLADE MARIN VARGAS
496;ESCUELA DE CHOLLAY
497;ESCUELA DE LA PAMPA
498;ESCUELA ALGARROBILLA
499;ESCUELA RICARDO CAMPILLAY CONTRERAS
500;ESCUELA BASICA RURAL EL TAMBO
502;ESCUELA DE LAS MARQUESAS
503;ESCUELA DE LAS BREAS
504;ESCUELA GABRIELA MISTRAL
506;ESCUELA DE LOS PERALES
508;ESCUELA DE CHIGUINTO
514;ESCUELA DE EL CORRAL
516;LICEO GABRIELA MISTRAL DE LA SERENA
517;LICEO GREGORIO CORDOVEZ
518;LICEO TECNICO MARTA BRUNET
519;COLEGIO ARTURO PRAT CHACON
521;COLEGIO VICTOR DOMINGO SILVA
522;COLEGIO JAVIERA CARRERA
523;ESCUELA ALONSO DE ERCILLA
525;COLEGIO JAPON
526;COLEGIO JOSE MANUEL BALMACEDA
527;COLEGIO HEROES DE LA CONCEPCION
528;ESCUELA GERMAN RIESCO
